run_name,DLNTDR_1,DLNNDR_1,KY,NU_EE,MASS_1,DLNTDR_2,DLNNDR_2,RMAJ,RMIN,Q,S,KAPPA,DELTA,GAMMA_E,BETAE_UNIT,MACH,SHIFT,S_KAPPA,S_DELTA,Q_electron,Q_ion,split
2020_08-nuei_lor_alor1_filtered,3.0,1.0,1.0049999952316284,0.02,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,15.344893,43.226257,train
2020_08-nuei_lor_alor2_filtered,3.0,1.0,1.0049999952316284,0.05,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,15.015698,40.028339,train
2020_08-nuei_lor_alor3_filtered,3.0,1.0,1.0049999952316284,0.1,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,13.375133,35.164783,train
2020_08-nuei_lor_alor3_hnorm_filtered,3.0,1.0,0.7106422781944275,0.07071067,2.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,19.42988,49.224979,ood
2020_08-nuei_lor_alor4_filtered,3.0,1.0,1.0049999952316284,0.167,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.123841,35.086494,train
2020_08-nuei_lor_alor5_filtered,3.0,1.0,1.0049999952316284,0.278,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,13.906169,33.323521,train
2020_08-nuei_lor_alor6_filtered,3.0,1.0,1.0049999952316284,0.464,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,11.957195,28.186806,train
2020_08-nuei_lor_alor7_filtered,3.0,1.0,1.0049999952316284,0.774,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,11.52559,26.600643,train
2020_08-nuei_lor_alor8_filtered,3.0,1.0,1.0049999952316284,1.0,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,9.927346,23.642275,train
2020_08-nuei_lor_blor0_filtered,3.0,3.0,1.0049999952316284,0.01,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,65.135941,60.851643,train
2020_08-nuei_lor_blor1_filtered,3.0,3.0,1.0049999952316284,0.02,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,57.487541,53.70089,train
2020_08-nuei_lor_blor2_filtered,3.0,3.0,1.0049999952316284,0.05,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,49.336433,45.487034,train
2020_08-nuei_lor_blor3_filtered,3.0,3.0,1.0049999952316284,0.1,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,39.448486,35.912346,train
2020_08-nuei_lor_blor4_filtered,3.0,3.0,1.0049999952316284,0.167,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,33.205013,29.58852,train
2020_08-nuei_lor_blor5_filtered,3.0,3.0,1.0049999952316284,0.278,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,28.806492,25.180794,train
2020_08-nuei_lor_blor6_filtered,3.0,3.0,1.0049999952316284,0.464,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,22.647276,19.051853,train
2020_08-nuei_lor_blor7_filtered,3.0,3.0,1.0049999952316284,0.774,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,17.51408,14.195183,train
2020_08-nuei_lor_blor8_filtered,3.0,3.0,1.0049999952316284,1.0,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,15.217232,12.094504,train
